,Customer_ID,SSN,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
0,CUS_0x1000,913741218,17,Lawyer,30625.94,2706.16,6,5,27.0,2,"Credit-Builder Loan, and Home Equity Loan",57,23,1.88,10,Bad,1562.91,33.4775,10 Years and 2 Months,Yes,42.94,158.54875,Low_spent_Large_value_payments,335.375,Poor
1,CUS_0x1009,63676938,25,Mechanic,52312.68,4250.39,6,5,17.0,4,"Not Specified, Home Equity Loan, Credit-Builder Loan, and Payday Loan",7,17,9.73,3,Standard,202.68,29.84,30 Years and 5 Months,Yes,108.37,146.67875,Low_spent_Medium_value_payments,428.7425,Standard
2,CUS_0x100b,238620395,18,Media_Manager,113781.39,9549.78,1,4,1.0,0,No Loan,13,7,10.965,1,Good,1030.2,34.8425,15 Years and 3 Months,No,0.0,544.44375,Low_spent_Medium_value_payments,781.23125,Poor
3,CUS_0x1011,793058223,43,Doctor,58918.47,5208.87,3,3,17.0,3,"Student Loan, Credit-Builder Loan, and Debt Consolidation Loan",27,14,14.17,7,Standard,473.14,27.65625,15 Years and 3 Months,Yes,123.43,281.0825,High_spent_Large_value_payments,332.64250000000004,Standard
4,CUS_0x1013,930499615,43,Mechanic,98620.98,7962.42,3,3,6.0,3,"Student Loan, Debt Consolidation Loan, and Personal Loan",12,8,1.705,3,Good,1233.51,31.93375,17 Years and 3 Months,No,228.02,355.44125,High_spent_Medium_value_payments,472.78125,Standard
5,CUS_0x1015,810977024,27,Journalist,46951.02,3725.59,7,4,16.0,0,No Loan,8,9,16.33,7,Standard,340.22,35.18125,20 Years and 10 Months,Yes,0.0,267.56874999999997,Low_spent_Medium_value_payments,398.21875,Good
6,CUS_0x1018,731198119,15,Accountant,61194.81,5014.57,7,7,23.0,8,"Credit-Builder Loan, Payday Loan, Home Equity Loan, Not Specified, Student Loan, Home Equity Loan, Personal Loan, and Credit-Builder Loan",23,21,28.63,8,Bad,2773.09,28.29375,13 Years and 8 Months,Yes,225.37,209.625,Low_spent_Small_value_payments,333.9625,Poor
7,CUS_0x1026,500629044,51,Manager,170614.28,14463.86,2,6,9.0,2,"Payday Loan, and Auto Loan",0,2,0.73,3,Good,849.69,37.18875,20 Years and 1 Months,No,208.91,351.33125,High_spent_Large_value_payments,1170.60625,Standard
8,CUS_0x102d,692717552,30,Entrepreneur,89064.52,7256.04,5,3,1.0,1,Mortgage Loan,5,5,6.62,3,Good,648.36,33.9275,29 Years and 8 Months,No,37.57,384.92,Low_spent_Medium_value_payments,573.11125,Good
9,CUS_0x102e,352234930,25,Scientist,50807.44,4197.95,8,4,11.0,4,"Mortgage Loan, Not Specified, Home Equity Loan, and Home Equity Loan",12,9,3.1,4,Standard,869.59,34.27375,22 Years and 4 Months,Yes,88.76,112.0675,High_spent_Large_value_payments,473.9675,Standard
10,CUS_0x1032,620588045,40,Lawyer,60410.94,5274.24,4,7,17.0,4,"Student Loan, Home Equity Loan, Not Specified, and Payday Loan",22,9,8.025,7,Standard,1852.86,30.4,15 Years and 8 Months,Yes,149.93,262.45625,Low_spent_Small_value_payments,385.0425,Standard
11,CUS_0x1037,230229583,44,Accountant,15989.08,1086.42,5,4,2.0,4,"Credit-Builder Loan, Auto Loan, Auto Loan, and Mortgage Loan",11,15,0.5,2,Good,665.82,33.31375,19 Years and 2 Months,No,33.8,94.49875,Low_spent_Large_value_payments,266.59625,Good
12,CUS_0x1038,355007832,27,Architect,129473.16,10959.43,3,4,10.0,3,"Payday Loan, Payday Loan, and Home Equity Loan",28,13,8.485,9,Standard,568.21,35.2125,19 Years and 5 Months,Yes,255.33,536.10375,Low_spent_Large_value_payments,573.26375,Good
13,CUS_0x103e,155728070,40,Scientist,98690.8,8262.23,4,6,9.0,1,Student Loan,6,17,9.26,3,Good,706.96,34.49875,26 Years and 4 Months,No,55.0,383.39750000000004,Low_spent_Medium_value_payments,657.8225,Poor
14,CUS_0x1041,675802033,14,Teacher,8978.11,894.18,8,8,30.0,9,"Payday Loan, Mortgage Loan, Payday Loan, Mortgage Loan, Home Equity Loan, Home Equity Loan, Mortgage Loan, Not Specified, and Student Loan",50,16,18.23,9,Bad,4913.15,32.055,9 Years and 10 Months,Yes,57.68,40.53375,High_spent_Medium_value_payments,260.305,Standard
15,CUS_0x1044,261184430,44,Entrepreneur,33441.59,2748.8,2,4,1.0,0,No Loan,2,4,10.58,3,Good,154.96,30.576249999999998,31 Years and 4 Months,No,0.0,155.25875,High_spent_Small_value_payments,380.87125000000003,Standard
16,CUS_0x1048,808812470,26,Accountant,42387.54,3680.3,3,7,26.0,7,"Personal Loan, Not Specified, Home Equity Loan, Home Equity Loan, Debt Consolidation Loan, Payday Loan, and Debt Consolidation Loan",9,8,13.84,7,Standard,1835.67,31.50375,9 Years and 5 Months,Yes,225.88,199.96625,Low_spent_Medium_value_payments,213.00375,Poor
17,CUS_0x104a,652585852,36,Mechanic,14981.39,1461.45,2,7,5.0,4,"Mortgage Loan, Auto Loan, Not Specified, and Payday Loan",1,6,0.63,4,Good,1122.46,33.277499999999996,31 Years and 8 Months,No,38.12,81.28999999999999,High_spent_Medium_value_payments,296.74,Standard
18,CUS_0x104e,837935062,50,Teacher,19180.87,1688.41,8,4,18.0,4,"Debt Consolidation Loan, Auto Loan, Payday Loan, and Payday Loan",5,17,9.07,4,Standard,1127.57,30.92625,24 Years and 7 Months,No,57.36,98.53,Low_spent_Large_value_payments,285.445,Standard
19,CUS_0x104f,264848069,19,Architect,11336.83,992.74,4,6,14.0,6,"Auto Loan, Payday Loan, Student Loan, Auto Loan, Auto Loan, and Personal Loan",30,19,15.440000000000001,7,Standard,177.98,31.1575,14 Years and 4 Months,Yes,35.56,53.39125,High_spent_Large_value_payments,270.65875,Standard
20,CUS_0x1051,232337638,41,Engineer,35022.22,2859.52,3,5,4.0,1,Student Loan,5,11,1.86,3,Good,1000.44,30.79375,27 Years and 11 Months,No,21.21,183.09375,Low_spent_Small_value_payments,371.2825,Good
21,CUS_0x1056,81934350,44,Entrepreneur,16053.86,1196.82,8,6,24.0,5,"Student Loan, Student Loan, Not Specified, Personal Loan, and Debt Consolidation Loan",24,16,1.7049999999999998,8,Bad,2107.76,35.6975,15 Years and 7 Months,Yes,44.86,88.97874999999999,Low_spent_Small_value_payments,267.09375,Poor
22,CUS_0x1057,741073912,45,Writer,86617.16,7250.1,8,4,6.0,3,"Auto Loan, Student Loan, and Payday Loan",16,20,11.01,4,Standard,718.53,33.58,24 Years and 4 Months,No,141.38,372.59625,High_spent_Large_value_payments,594.71375,Standard
23,CUS_0x105b,66656008,24,Accountant,34428.21,2467.98375,2,4,8.0,0,No Loan,3,12,8.51,0,Good,180.7,35.00125,26 Years and 11 Months,No,0.0,100.19625,Low_spent_Medium_value_payments,422.30625,Good
24,CUS_0x105c,998187252,54,Journalist,127617.6,10596.8,0,4,5.0,3,"Not Specified, Mortgage Loan, and Payday Loan",5,6,9.595,0,Good,542.91,33.09375,23 Years and 9 Months,No,211.05,343.9275,High_spent_Medium_value_payments,719.88875,Standard
